Customer Name,Date,Week,Actual Orders,Forecast Orders
DANONE - EU,2023-10-09 00:00:00,41,73,82
HALEON - EU,2023-10-09 00:00:00,41,95,150
HALEON - NA,2023-10-09 00:00:00,41,159,24
INTERNATIONAL PAPER - NA,2023-10-09 00:00:00,41,28,34
JDE - EU,2023-10-09 00:00:00,41,49,50
METAL CONTAINER CORP - NA,2023-10-09 00:00:00,41,18,160
NOVOLEX - NA,2023-10-09 00:00:00,41,63,70
PACKAGING SPECIALTIE - NA,2023-10-09 00:00:00,41,1,46
PEEL PLASTIC PRODUCT - NA,2023-10-09 00:00:00,41,5,26
PROCTER & GAMBLE - EU,2023-10-09 00:00:00,41,176,225
THE FERRERO GROUP - NA,2023-10-09 00:00:00,41,30,80
3M - NA,2023-10-02 00:00:00,40,63,180
BEIERSDORF INCORPORATED - EU,2023-10-02 00:00:00,40,170,100
BROWN FORMAN CORPORATION - NA,2023-10-02 00:00:00,40,88,50
CONAGRA - NA,2023-10-02 00:00:00,40,101,105
DANONE - EU,2023-10-02 00:00:00,40,109,82
HALEON - EU,2023-10-02 00:00:00,40,69,110
HALEON - NA,2023-10-02 00:00:00,40,64,33
INTERNATIONAL PAPER - NA,2023-10-02 00:00:00,40,18,34
JDE - EU,2023-10-02 00:00:00,40,36,50
METAL CONTAINER CORP - NA,2023-10-02 00:00:00,40,19,145
NOVOLEX - NA,2023-10-02 00:00:00,40,19,65
PACKAGING SPECIALTIE - NA,2023-10-02 00:00:00,40,1,60
PEEL PLASTIC PRODUCT - NA,2023-10-02 00:00:00,40,7,28
PROCTER & GAMBLE - EU,2023-10-02 00:00:00,40,198,251
THE FERRERO GROUP - NA,2023-10-02 00:00:00,40,27,75
3M - NA,2023-09-25 00:00:00,39,124,200
BEIERSDORF INCORPORATED - EU,2023-09-25 00:00:00,39,26,100
BROWN FORMAN CORPORATION - NA,2023-09-25 00:00:00,39,117,65
CONAGRA - NA,2023-09-25 00:00:00,39,75,90
DANONE - EU,2023-09-25 00:00:00,39,30,79
HALEON - EU,2023-09-25 00:00:00,39,181,110
HALEON - NA,2023-09-25 00:00:00,39,24,24
INTERNATIONAL PAPER - NA,2023-09-25 00:00:00,39,20,34
JDE - EU,2023-09-25 00:00:00,39,33,55
METAL CONTAINER CORP - NA,2023-09-25 00:00:00,39,28,150
NOVOLEX - NA,2023-09-25 00:00:00,39,57,70
PACKAGING SPECIALTIE - NA,2023-09-25 00:00:00,39,0,64
PEEL PLASTIC PRODUCT - NA,2023-09-25 00:00:00,39,4,44
PROCTER & GAMBLE - EU,2023-09-25 00:00:00,39,205,200
THE FERRERO GROUP - NA,2023-09-25 00:00:00,39,26,70
3M - NA,2023-09-18 00:00:00,38,105,150
BEIERSDORF INCORPORATED - EU,2023-09-18 00:00:00,38,55,100
BROWN FORMAN CORPORATION - NA,2023-09-18 00:00:00,38,82,60
CONAGRA - NA,2023-09-18 00:00:00,38,66,45
DANONE - EU,2023-09-18 00:00:00,38,52,97
HALEON - EU,2023-09-18 00:00:00,38,95,110
HALEON - NA,2023-09-18 00:00:00,38,32,24
INTERNATIONAL PAPER - NA,2023-09-18 00:00:00,38,24,34
JDE - EU,2023-09-18 00:00:00,38,96,55
METAL CONTAINER CORP - NA,2023-09-18 00:00:00,38,7,160
NOVOLEX - NA,2023-09-18 00:00:00,38,51,65
PACKAGING SPECIALTIE - NA,2023-09-18 00:00:00,38,0,54
PEEL PLASTIC PRODUCT - NA,2023-09-18 00:00:00,38,9,45
PROCTER & GAMBLE - EU,2023-09-18 00:00:00,38,237,200
THE FERRERO GROUP - NA,2023-09-18 00:00:00,38,39,80
3M - NA,2023-09-11 00:00:00,37,43,175
BEIERSDORF INCORPORATED - EU,2023-09-11 00:00:00,37,109,100
BROWN FORMAN CORPORATION - NA,2023-09-11 00:00:00,37,93,65
CONAGRA - NA,2023-09-11 00:00:00,37,87,94
DANONE - EU,2023-09-11 00:00:00,37,66,110
HALEON - EU,2023-09-11 00:00:00,37,145,110
HALEON - NA,2023-09-11 00:00:00,37,41,24
INTERNATIONAL PAPER - NA,2023-09-11 00:00:00,37,19,34
JDE - EU,2023-09-11 00:00:00,37,117,55
METAL CONTAINER CORP - NA,2023-09-11 00:00:00,37,23,135
NOVOLEX - NA,2023-09-11 00:00:00,37,33,65
PACKAGING SPECIALTIE - NA,2023-09-11 00:00:00,37,0,76
PEEL PLASTIC PRODUCT - NA,2023-09-11 00:00:00,37,4,41
PROCTER & GAMBLE - EU,2023-09-11 00:00:00,37,168,200
THE FERRERO GROUP - NA,2023-09-11 00:00:00,37,12,80
3M - NA,2023-09-04 00:00:00,36,72,180
BEIERSDORF INCORPORATED - EU,2023-09-04 00:00:00,36,131,100
BROWN FORMAN CORPORATION - NA,2023-09-04 00:00:00,36,93,55
CONAGRA - NA,2023-09-04 00:00:00,36,36,78
DANONE - EU,2023-09-04 00:00:00,36,81,89
HALEON - EU,2023-09-04 00:00:00,36,118,103
HALEON - NA,2023-09-04 00:00:00,36,69,36
INTERNATIONAL PAPER - NA,2023-09-04 00:00:00,36,17,34
JDE - EU,2023-09-04 00:00:00,36,65,55
METAL CONTAINER CORP - NA,2023-09-04 00:00:00,36,16,130
NOVOLEX - NA,2023-09-04 00:00:00,36,30,55
PACKAGING SPECIALTIE - NA,2023-09-04 00:00:00,36,0,62
PEEL PLASTIC PRODUCT - NA,2023-09-04 00:00:00,36,7,40
PROCTER & GAMBLE - EU,2023-09-04 00:00:00,36,224,200
THE FERRERO GROUP - NA,2023-09-04 00:00:00,36,8,70
3M - NA,2023-08-28 00:00:00,35,63,175
BEIERSDORF INCORPORATED - EU,2023-08-28 00:00:00,35,20,150
BROWN FORMAN CORPORATION - NA,2023-08-28 00:00:00,35,127,55
CONAGRA - NA,2023-08-28 00:00:00,35,46,45
DANONE - EU,2023-08-28 00:00:00,35,93,119
HALEON - EU,2023-08-28 00:00:00,35,140,100
HALEON - NA,2023-08-28 00:00:00,35,39,25
INTERNATIONAL PAPER - NA,2023-08-28 00:00:00,35,32,34
JDE - EU,2023-08-28 00:00:00,35,72,30
METAL CONTAINER CORP - NA,2023-08-28 00:00:00,35,41,120
NOVOLEX - NA,2023-08-28 00:00:00,35,73,60
PACKAGING SPECIALTIE - NA,2023-08-28 00:00:00,35,4,64
PEEL PLASTIC PRODUCT - NA,2023-08-28 00:00:00,35,5,44
PROCTER & GAMBLE - EU,2023-08-28 00:00:00,35,239,250
THE FERRERO GROUP - NA,2023-08-28 00:00:00,35,19,75
3M - NA,2023-08-21 00:00:00,34,54,150
BEIERSDORF INCORPORATED - EU,2023-08-21 00:00:00,34,482,150
BROWN FORMAN CORPORATION - NA,2023-08-21 00:00:00,34,123,50
CONAGRA - NA,2023-08-21 00:00:00,34,61,65
DANONE - EU,2023-08-21 00:00:00,34,44,72
