Customer Name,Date,Orders
FOUR04 PACKAGING LTD,2023-10-30 00:00:00,0
FRANPRIX,2023-10-30 00:00:00,0
FRIGEMO,2023-10-30 00:00:00,0
Froneri,2023-10-30 00:00:00,5
GBFOODS,2023-10-30 00:00:00,26
GLACES THIRIET,2023-10-30 00:00:00,4
GREEN ISLE FOODS,2023-10-30 00:00:00,0
HALEON,2023-10-30 00:00:00,142
Herta,2023-10-30 00:00:00,0
HEWLETT PACKARD,2023-10-30 00:00:00,4
Horizon Pharma Ireland Ltd,2023-10-30 00:00:00,1
HOVIS LTD,2023-10-30 00:00:00,4
INTERFLEX GROUP INC,2023-10-30 00:00:00,0
IRISH FLEXIBLE PACKAGING LTD,2023-10-30 00:00:00,0
JDE,2023-10-30 00:00:00,49
KELLOGG COMPANY,2023-10-30 00:00:00,14
KERRY INC,2023-10-30 00:00:00,5
KIBAR GROUP,2023-10-30 00:00:00,0
LACTALIS,2023-10-30 00:00:00,8
LOREAL,2023-10-30 00:00:00,0
LVMH,2023-10-30 00:00:00,50
MACKLE PET FOODS,2023-10-30 00:00:00,0
"MARS, INC.",2023-10-30 00:00:00,193
MAZDA,2023-10-30 00:00:00,0
MCCAIN FOODS,2023-10-30 00:00:00,16
MERCADONA,2023-10-30 00:00:00,2
MILLER/COORS,2023-10-30 00:00:00,2
"ModernaTX, Inc.",2023-10-30 00:00:00,11
MONDELEZ,2023-10-30 00:00:00,70
MONDI PACKAGING,2023-10-30 00:00:00,0
MOUSLINE,2023-10-30 00:00:00,0
NATIONAL PKG CORPORATION LTD,2023-10-30 00:00:00,0
NESTLE,2023-10-30 00:00:00,46
NISSAN,2023-10-30 00:00:00,0
ORKLA,2023-10-30 00:00:00,25
PAPERWORKS INDUSTRIES,2023-10-30 00:00:00,0
Papier-Mettler,2023-10-30 00:00:00,0
PAUL PAULET,2023-10-30 00:00:00,0
PEPSICO,2023-10-30 00:00:00,0
PHILIPS,2023-10-30 00:00:00,40
PILGRIMS PRIDE CORP,2023-10-30 00:00:00,1
POKON NATURADO B.V.,2023-10-30 00:00:00,0
PROCTER & GAMBLE,2023-10-30 00:00:00,164
RECKITT BENCKISER IN,2023-10-30 00:00:00,39
RÉMY COINTREAU,2023-10-30 00:00:00,5
RENAULT,2023-10-30 00:00:00,0
RKW,2023-10-30 00:00:00,0
RKW France Castelletta,2023-10-30 00:00:00,0
