Customer Name,Date,S&OP Forecast
CONAGRA - NA,2022-11-28 00:00:00,50
DANONE - EU,2022-11-28 00:00:00,69
HALEON - EU,2022-11-28 00:00:00,145
HALEON - NA,2022-11-28 00:00:00,40
INTERNATIONAL PAPER - NA,2022-11-28 00:00:00,41
JDE - EU,2022-11-28 00:00:00,30
METAL CONTAINER CORP - NA,2022-11-28 00:00:00,115
NOVOLEX - NA,2022-11-28 00:00:00,33
PACKAGING SPECIALTIE - NA,2022-11-28 00:00:00,50
PEEL PLASTIC PRODUCT - NA,2022-11-28 00:00:00,40
PROCTER & GAMBLE - EU,2022-11-28 00:00:00,539
THE FERRERO GROUP - NA,2022-11-28 00:00:00,55
3M - NA,2022-12-05 00:00:00,90
BROWN FORMAN CORPORATION - NA,2022-12-05 00:00:00,2
CONAGRA - NA,2022-12-05 00:00:00,60
DANONE - EU,2022-12-05 00:00:00,52
HALEON - EU,2022-12-05 00:00:00,145
HALEON - NA,2022-12-05 00:00:00,61
INTERNATIONAL PAPER - NA,2022-12-05 00:00:00,41
JDE - EU,2022-12-05 00:00:00,30
METAL CONTAINER CORP - NA,2022-12-05 00:00:00,105
NOVOLEX - NA,2022-12-05 00:00:00,34
PACKAGING SPECIALTIE - NA,2022-12-05 00:00:00,50
PEEL PLASTIC PRODUCT - NA,2022-12-05 00:00:00,45
PROCTER & GAMBLE - EU,2022-12-05 00:00:00,422
THE FERRERO GROUP - NA,2022-12-05 00:00:00,60
3M - NA,2022-12-12 00:00:00,80
BROWN FORMAN CORPORATION - NA,2022-12-12 00:00:00,0
CONAGRA - NA,2022-12-12 00:00:00,70
DANONE - EU,2022-12-12 00:00:00,109
HALEON - EU,2022-12-12 00:00:00,100
HALEON - NA,2022-12-12 00:00:00,51
INTERNATIONAL PAPER - NA,2022-12-12 00:00:00,41
JDE - EU,2022-12-12 00:00:00,30
METAL CONTAINER CORP - NA,2022-12-12 00:00:00,105
NOVOLEX - NA,2022-12-12 00:00:00,33
PACKAGING SPECIALTIE - NA,2022-12-12 00:00:00,50
PEEL PLASTIC PRODUCT - NA,2022-12-12 00:00:00,42
PROCTER & GAMBLE - EU,2022-12-12 00:00:00,240
THE FERRERO GROUP - NA,2022-12-12 00:00:00,45
3M - NA,2022-12-19 00:00:00,75
BROWN FORMAN CORPORATION - NA,2022-12-19 00:00:00,0
CONAGRA - NA,2022-12-19 00:00:00,50
DANONE - EU,2022-12-19 00:00:00,49
HALEON - EU,2022-12-19 00:00:00,90
HALEON - NA,2022-12-19 00:00:00,38
INTERNATIONAL PAPER - NA,2022-12-19 00:00:00,41
JDE - EU,2022-12-19 00:00:00,30
METAL CONTAINER CORP - NA,2022-12-19 00:00:00,110
NOVOLEX - NA,2022-12-19 00:00:00,35
PACKAGING SPECIALTIE - NA,2022-12-19 00:00:00,50
PEEL PLASTIC PRODUCT - NA,2022-12-19 00:00:00,35
PROCTER & GAMBLE - EU,2022-12-19 00:00:00,204
THE FERRERO GROUP - NA,2022-12-19 00:00:00,40
3M - NA,2022-12-26 00:00:00,60
BROWN FORMAN CORPORATION - NA,2022-12-26 00:00:00,0
